.text _start
_start __libc_start_main@plt
__libc_start_main@plt .plt
.plt _dl_find_dso_for_object
__libc_start_main __libc_csu_init
__libc_csu_init __x86.get_pc_thunk.bx
__libc_csu_init _init
_init __x86.get_pc_thunk.bx
__libc_csu_init frame_dummy
$__JCR_END__ frame_dummy
frame_dummy register_tm_clones
__libc_start_main main
main set_program_name
set_program_name strrchr@plt
strrchr@plt .plt
.plt _dl_find_dso_for_object
set_program_name $program_name
set_program_name $program_invocation_name@@GLIBC_2.0
main setlocale@plt
setlocale@plt .plt
.plt _dl_find_dso_for_object
main tninit
tninit init_terminal
init_terminal ring_init
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
ring_init $ttyoring
init_terminal ring_init
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
ring_init $ttyiring
init_terminal TerminalAutoFlush
init_terminal $autoflush
tninit init_network
init_network ring_init
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
ring_init $netoring
init_network ring_init
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
ring_init $netiring
$stdout@@GLIBC_2.0 init_network
init_network $NetTrace
tninit init_telnet
init_telnet env_init
$environ@@GLIBC_2.0 env_init
env_init strchr@plt
strchr@plt .plt
.plt _dl_find_dso_for_object
env_init env_define
env_define env_find
$envlisthead env_find
env_define xmalloc
xmalloc malloc@plt
malloc@plt .plt
.plt _dl_find_dso_for_object
$envlisthead env_define
env_define $envlisthead
env_define opt_welldefined
env_define strdup@plt
strdup@plt .plt
.plt _dl_find_dso_for_object
env_define strdup@plt
strdup@plt strdup
env_init strchr@plt
strchr@plt envz_strip
env_init env_define
env_define env_find
$envlisthead env_find
env_find strcmp@plt
strcmp@plt .plt
.plt _dl_find_dso_for_object
env_define xmalloc
xmalloc malloc@plt
malloc@plt __libc_malloc
$envlisthead env_define
env_define $envlisthead
env_define opt_welldefined
env_define strdup@plt
strdup@plt strdup
env_define strdup@plt
strdup@plt strdup
env_init strchr@plt
strchr@plt envz_strip
env_init env_define
env_define env_find
$envlisthead env_find
env_find strcmp@plt
strcmp@plt __nss_hosts_lookup
env_find strcmp@plt
strcmp@plt __nss_hosts_lookup
env_define xmalloc
xmalloc malloc@plt
malloc@plt __libc_malloc
$envlisthead env_define
env_define $envlisthead
env_define opt_welldefined
env_define strdup@plt
strdup@plt strdup
env_define strdup@plt
strdup@plt strdup
env_init strchr@plt
strchr@plt envz_strip
env_init env_define
env_define env_find
